,0
177,"spam ../data/inmail.178
"
178,"spam ../data/inmail.179
"
179,"spam ../data/inmail.180
"
180,"spam ../data/inmail.181
"
181,"spam ../data/inmail.182
"
182,"spam ../data/inmail.183
"
183,"spam ../data/inmail.184
"
184,"spam ../data/inmail.185
"
185,"spam ../data/inmail.186
"
186,"spam ../data/inmail.187
"
187,"spam ../data/inmail.188
"
188,"spam ../data/inmail.189
"
189,"spam ../data/inmail.190
"
190,"spam ../data/inmail.191
"
191,"spam ../data/inmail.192
"
192,"ham ../data/inmail.193
"
193,"spam ../data/inmail.194
"
194,"spam ../data/inmail.195
"
195,"spam ../data/inmail.196
"
196,"spam ../data/inmail.197
"
197,"spam ../data/inmail.198
"
198,"spam ../data/inmail.199
"
199,"spam ../data/inmail.200
"
200,"spam ../data/inmail.201
"
201,"spam ../data/inmail.202
"
202,"spam ../data/inmail.203
"
203,"spam ../data/inmail.204
"
204,"spam ../data/inmail.205
"
205,"spam ../data/inmail.206
"
206,"ham ../data/inmail.207
"
207,"spam ../data/inmail.208
"
208,"spam ../data/inmail.209
"
209,"spam ../data/inmail.210
"
210,"spam ../data/inmail.211
"
211,"spam ../data/inmail.212
"
212,"spam ../data/inmail.213
"
213,"spam ../data/inmail.214
"
214,"spam ../data/inmail.215
"
215,"spam ../data/inmail.216
"
216,"ham ../data/inmail.217
"
217,"spam ../data/inmail.218
"
218,"spam ../data/inmail.219
"
219,"spam ../data/inmail.220
"
220,"spam ../data/inmail.221
"
221,"spam ../data/inmail.222
"
222,"spam ../data/inmail.223
"
223,"spam ../data/inmail.224
"
224,"spam ../data/inmail.225
"
225,"spam ../data/inmail.226
"
226,"spam ../data/inmail.227
"
227,"spam ../data/inmail.228
"
228,"spam ../data/inmail.229
"
229,"spam ../data/inmail.230
"
230,"spam ../data/inmail.231
"
231,"spam ../data/inmail.232
"
232,"spam ../data/inmail.233
"
233,"spam ../data/inmail.234
"
234,"ham ../data/inmail.235
"
235,"ham ../data/inmail.236
"
236,"spam ../data/inmail.237
"
237,"ham ../data/inmail.238
"
238,"spam ../data/inmail.239
"
239,"spam ../data/inmail.240
"
240,"ham ../data/inmail.241
"
241,"spam ../data/inmail.242
"
242,"spam ../data/inmail.243
"
243,"spam ../data/inmail.244
"
244,"spam ../data/inmail.245
"
245,"spam ../data/inmail.246
"
246,"ham ../data/inmail.247
"
247,"ham ../data/inmail.248
"
248,"spam ../data/inmail.249
"
249,"spam ../data/inmail.250
"
250,"spam ../data/inmail.251
"
251,"spam ../data/inmail.252
"
252,"spam ../data/inmail.253
"
253,"spam ../data/inmail.254
"
254,"spam ../data/inmail.255
"
255,"spam ../data/inmail.256
"
256,"spam ../data/inmail.257
"
257,"spam ../data/inmail.258
"
258,"spam ../data/inmail.259
"
259,"spam ../data/inmail.260
"
260,"ham ../data/inmail.261
"
261,"spam ../data/inmail.262
"
262,"ham ../data/inmail.263
"
263,"spam ../data/inmail.264
"
264,"spam ../data/inmail.265
"
265,"spam ../data/inmail.266
"
266,"spam ../data/inmail.267
"
267,"spam ../data/inmail.268
"
268,"spam ../data/inmail.269
"
269,"spam ../data/inmail.270
"
270,"spam ../data/inmail.271
"
271,"ham ../data/inmail.272
"
272,"spam ../data/inmail.273
"
273,"spam ../data/inmail.274
"
274,"spam ../data/inmail.275
"
275,"spam ../data/inmail.276
"
276,"spam ../data/inmail.277
"
277,"spam ../data/inmail.278
"
278,"spam ../data/inmail.279
"
279,"spam ../data/inmail.280
"
280,"ham ../data/inmail.281
"
281,"ham ../data/inmail.282
"
282,"ham ../data/inmail.283
"
283,"spam ../data/inmail.284
"
284,"spam ../data/inmail.285
"
285,"spam ../data/inmail.286
"
286,"spam ../data/inmail.287
"
287,"spam ../data/inmail.288
"
288,"spam ../data/inmail.289
"
289,"spam ../data/inmail.290
"
290,"ham ../data/inmail.291
"
291,"spam ../data/inmail.292
"
292,"spam ../data/inmail.293
"
293,"ham ../data/inmail.294
"
294,"spam ../data/inmail.295
"
295,"spam ../data/inmail.296
"
296,"spam ../data/inmail.297
"
297,"ham ../data/inmail.298
"
298,"ham ../data/inmail.299
"
299,"spam ../data/inmail.300
"
300,"spam ../data/inmail.301
"
301,"ham ../data/inmail.302
"
302,"ham ../data/inmail.303
"
303,"spam ../data/inmail.304
"
304,"spam ../data/inmail.305
"
305,"spam ../data/inmail.306
"
306,"spam ../data/inmail.307
"
307,"spam ../data/inmail.308
"
308,"ham ../data/inmail.309
"
309,"spam ../data/inmail.310
"
310,"ham ../data/inmail.311
"
311,"spam ../data/inmail.312
"
312,"ham ../data/inmail.313
"
313,"ham ../data/inmail.314
"
314,"spam ../data/inmail.315
"
315,"spam ../data/inmail.316
"
316,"spam ../data/inmail.317
"
317,"spam ../data/inmail.318
"
318,"spam ../data/inmail.319
"
319,"spam ../data/inmail.320
"
320,"spam ../data/inmail.321
"
321,"spam ../data/inmail.322
"
322,"spam ../data/inmail.323
"
323,"spam ../data/inmail.324
"
324,"spam ../data/inmail.325
"
325,"spam ../data/inmail.326
"
326,"spam ../data/inmail.327
"
327,"spam ../data/inmail.328
"
328,"spam ../data/inmail.329
"
329,"spam ../data/inmail.330
"
330,"spam ../data/inmail.331
"
331,"ham ../data/inmail.332
"
332,"spam ../data/inmail.333
"
333,"spam ../data/inmail.334
"
334,"spam ../data/inmail.335
"
335,"spam ../data/inmail.336
"
336,"spam ../data/inmail.337
"
337,"spam ../data/inmail.338
"
338,"ham ../data/inmail.339
"
339,"spam ../data/inmail.340
"
340,"ham ../data/inmail.341
"
341,"spam ../data/inmail.342
"
342,"spam ../data/inmail.343
"
343,"spam ../data/inmail.344
"
344,"spam ../data/inmail.345
"
345,"ham ../data/inmail.346
"
346,"spam ../data/inmail.347
"
347,"spam ../data/inmail.348
"
348,"spam ../data/inmail.349
"
349,"spam ../data/inmail.350
"
350,"ham ../data/inmail.351
"
351,"ham ../data/inmail.352
"
352,"spam ../data/inmail.353
"
353,"spam ../data/inmail.354
"
354,"spam ../data/inmail.355
"
355,"ham ../data/inmail.356
"
356,"spam ../data/inmail.357
"
357,"spam ../data/inmail.358
"
358,"spam ../data/inmail.359
"
359,"spam ../data/inmail.360
"
360,"ham ../data/inmail.361
"
361,"spam ../data/inmail.362
"
362,"spam ../data/inmail.363
"
363,"spam ../data/inmail.364
"
364,"spam ../data/inmail.365
"
365,"spam ../data/inmail.366
"
366,"spam ../data/inmail.367
"
367,"spam ../data/inmail.368
"
368,"spam ../data/inmail.369
"
369,"spam ../data/inmail.370
"
370,"spam ../data/inmail.371
"
371,"spam ../data/inmail.372
"
372,"spam ../data/inmail.373
"
373,"spam ../data/inmail.374
"
374,"spam ../data/inmail.375
"
375,"spam ../data/inmail.376
"
376,"spam ../data/inmail.377
"
377,"spam ../data/inmail.378
"
378,"spam ../data/inmail.379
"
379,"spam ../data/inmail.380
"
380,"spam ../data/inmail.381
"
381,"spam ../data/inmail.382
"
382,"spam ../data/inmail.383
"
383,"spam ../data/inmail.384
"
384,"spam ../data/inmail.385
"
385,"spam ../data/inmail.386
"
386,"spam ../data/inmail.387
"
387,"spam ../data/inmail.388
"
388,"spam ../data/inmail.389
"
389,"spam ../data/inmail.390
"
390,"spam ../data/inmail.391
"
391,"spam ../data/inmail.392
"
392,"ham ../data/inmail.393
"
393,"ham ../data/inmail.394
"
394,"ham ../data/inmail.395
"
395,"spam ../data/inmail.396
"
396,"spam ../data/inmail.397
"
397,"spam ../data/inmail.398
"
398,"spam ../data/inmail.399
"
399,"spam ../data/inmail.400
"
400,"spam ../data/inmail.401
"
401,"ham ../data/inmail.402
"
402,"spam ../data/inmail.403
"
403,"spam ../data/inmail.404
"
404,"spam ../data/inmail.405
"
405,"spam ../data/inmail.406
"
406,"spam ../data/inmail.407
"
407,"spam ../data/inmail.408
"
408,"spam ../data/inmail.409
"
409,"spam ../data/inmail.410
"
410,"spam ../data/inmail.411
"
411,"spam ../data/inmail.412
"
412,"spam ../data/inmail.413
"
413,"spam ../data/inmail.414
"
414,"spam ../data/inmail.415
"
415,"spam ../data/inmail.416
"
416,"spam ../data/inmail.417
"
417,"spam ../data/inmail.418
"
418,"spam ../data/inmail.419
"
419,"spam ../data/inmail.420
"
420,"spam ../data/inmail.421
"
421,"spam ../data/inmail.422
"
422,"spam ../data/inmail.423
"
423,"spam ../data/inmail.424
"
424,"spam ../data/inmail.425
"
425,"spam ../data/inmail.426
"
426,"spam ../data/inmail.427
"
427,"spam ../data/inmail.428
"
428,"spam ../data/inmail.429
"
429,"spam ../data/inmail.430
"
430,"spam ../data/inmail.431
"
431,"spam ../data/inmail.432
"
432,"spam ../data/inmail.433
"
433,"spam ../data/inmail.434
"
434,"spam ../data/inmail.435
"
435,"spam ../data/inmail.436
"
436,"spam ../data/inmail.437
"
437,"spam ../data/inmail.438
"
438,"spam ../data/inmail.439
"
439,"spam ../data/inmail.440
"
440,"spam ../data/inmail.441
"
441,"spam ../data/inmail.442
"
442,"spam ../data/inmail.443
"
443,"spam ../data/inmail.444
"
444,"spam ../data/inmail.445
"
445,"spam ../data/inmail.446
"
446,"spam ../data/inmail.447
"
447,"spam ../data/inmail.448
"
448,"spam ../data/inmail.449
"
449,"spam ../data/inmail.450
"
450,"spam ../data/inmail.451
"
451,"ham ../data/inmail.452
"
452,"spam ../data/inmail.453
"
453,"spam ../data/inmail.454
"
454,"spam ../data/inmail.455
"
455,"spam ../data/inmail.456
"
456,"spam ../data/inmail.457
"
457,"spam ../data/inmail.458
"
458,"spam ../data/inmail.459
"
459,"spam ../data/inmail.460
"
460,"ham ../data/inmail.461
"
461,"ham ../data/inmail.462
"
462,"spam ../data/inmail.463
"
463,"ham ../data/inmail.464
"
464,"spam ../data/inmail.465
"
465,"spam ../data/inmail.466
"
466,"ham ../data/inmail.467
"
467,"ham ../data/inmail.468
"
468,"spam ../data/inmail.469
"
469,"spam ../data/inmail.470
"
470,"spam ../data/inmail.471
"
471,"spam ../data/inmail.472
"
472,"spam ../data/inmail.473
"
473,"ham ../data/inmail.474
"
474,"spam ../data/inmail.475
"
475,"spam ../data/inmail.476
"
476,"ham ../data/inmail.477
"
477,"ham ../data/inmail.478
"
478,"spam ../data/inmail.479
"
479,"spam ../data/inmail.480
"
480,"spam ../data/inmail.481
"
481,"spam ../data/inmail.482
"
482,"ham ../data/inmail.483
"
483,"spam ../data/inmail.484
"
484,"ham ../data/inmail.485
"
485,"spam ../data/inmail.486
"
486,"spam ../data/inmail.487
"
487,"spam ../data/inmail.488
"
488,"spam ../data/inmail.489
"
489,"ham ../data/inmail.490
"
490,"spam ../data/inmail.491
"
491,"ham ../data/inmail.492
"
492,"spam ../data/inmail.493
"
493,"ham ../data/inmail.494
"
494,"spam ../data/inmail.495
"
495,"ham ../data/inmail.496
"
496,"spam ../data/inmail.497
"
497,"spam ../data/inmail.498
"
498,"ham ../data/inmail.499
"
499,"spam ../data/inmail.500
"
500,"ham ../data/inmail.501
"
501,"ham ../data/inmail.502
"
502,"spam ../data/inmail.503
"
503,"spam ../data/inmail.504
"
504,"spam ../data/inmail.505
"
505,"ham ../data/inmail.506
"
506,"spam ../data/inmail.507
"
507,"spam ../data/inmail.508
"
508,"spam ../data/inmail.509
"
509,"spam ../data/inmail.510
"
510,"spam ../data/inmail.511
"
511,"spam ../data/inmail.512
"
512,"spam ../data/inmail.513
"
513,"spam ../data/inmail.514
"
514,"spam ../data/inmail.515
"
515,"spam ../data/inmail.516
"
516,"spam ../data/inmail.517
"
517,"spam ../data/inmail.518
"
518,"spam ../data/inmail.519
"
519,"spam ../data/inmail.520
"
520,"spam ../data/inmail.521
"
521,"spam ../data/inmail.522
"
522,"spam ../data/inmail.523
"
523,"ham ../data/inmail.524
"
524,"ham ../data/inmail.525
"
525,"spam ../data/inmail.526
"
526,"spam ../data/inmail.527
"
527,"spam ../data/inmail.528
"
528,"spam ../data/inmail.529
"
529,"spam ../data/inmail.530
"
530,"spam ../data/inmail.531
"
531,"ham ../data/inmail.532
"
532,"ham ../data/inmail.533
"
533,"spam ../data/inmail.534
"
534,"spam ../data/inmail.535
"
535,"ham ../data/inmail.536
"
536,"spam ../data/inmail.537
"
537,"spam ../data/inmail.538
"
538,"spam ../data/inmail.539
"
539,"ham ../data/inmail.540
"
540,"ham ../data/inmail.541
"
541,"spam ../data/inmail.542
"
542,"spam ../data/inmail.543
"
543,"ham ../data/inmail.544
"
544,"spam ../data/inmail.545
"
545,"spam ../data/inmail.546
"
546,"ham ../data/inmail.547
"
547,"spam ../data/inmail.548
"
548,"spam ../data/inmail.549
"
549,"spam ../data/inmail.550
"
550,"spam ../data/inmail.551
"
551,"spam ../data/inmail.552
"
552,"spam ../data/inmail.553
"
553,"spam ../data/inmail.554
"
554,"ham ../data/inmail.555
"
555,"spam ../data/inmail.556
"
556,"spam ../data/inmail.557
"
557,"spam ../data/inmail.558
"
558,"spam ../data/inmail.559
"
559,"spam ../data/inmail.560
"
560,"spam ../data/inmail.561
"
561,"spam ../data/inmail.562
"
562,"ham ../data/inmail.563
"
563,"spam ../data/inmail.564
"
564,"spam ../data/inmail.565
"
565,"spam ../data/inmail.566
"
566,"spam ../data/inmail.567
"
567,"spam ../data/inmail.568
"
568,"spam ../data/inmail.569
"
569,"spam ../data/inmail.570
"
570,"spam ../data/inmail.571
"
571,"spam ../data/inmail.572
"
572,"spam ../data/inmail.573
"
573,"spam ../data/inmail.574
"
574,"spam ../data/inmail.575
"
575,"spam ../data/inmail.576
"
576,"spam ../data/inmail.577
"
577,"spam ../data/inmail.578
"
578,"spam ../data/inmail.579
"
579,"spam ../data/inmail.580
"
580,"spam ../data/inmail.581
"
581,"spam ../data/inmail.582
"
582,"ham ../data/inmail.583
"
583,"spam ../data/inmail.584
"
584,"ham ../data/inmail.585
"
585,"spam ../data/inmail.586
"
586,"spam ../data/inmail.587
"
587,"spam ../data/inmail.588
"
588,"spam ../data/inmail.589
"
589,"spam ../data/inmail.590
"
590,"spam ../data/inmail.591
"
591,"spam ../data/inmail.592
"
592,"ham ../data/inmail.593
"
593,"spam ../data/inmail.594
"
594,"spam ../data/inmail.595
"
595,"spam ../data/inmail.596
"
596,"spam ../data/inmail.597
"
597,"spam ../data/inmail.598
"
598,"spam ../data/inmail.599
"
599,"spam ../data/inmail.600
"
600,"ham ../data/inmail.601
"
601,"spam ../data/inmail.602
"
602,"spam ../data/inmail.603
"
603,"spam ../data/inmail.604
"
604,"spam ../data/inmail.605
"
605,"spam ../data/inmail.606
"
606,"spam ../data/inmail.607
"
607,"spam ../data/inmail.608
"
608,"spam ../data/inmail.609
"
609,"spam ../data/inmail.610
"
610,"spam ../data/inmail.611
"
611,"spam ../data/inmail.612
"
612,"spam ../data/inmail.613
"
613,"spam ../data/inmail.614
"
614,"spam ../data/inmail.615
"
615,"spam ../data/inmail.616
"
616,"spam ../data/inmail.617
"
617,"spam ../data/inmail.618
"
618,"spam ../data/inmail.619
"
619,"spam ../data/inmail.620
"
620,"spam ../data/inmail.621
"
621,"spam ../data/inmail.622
"
622,"spam ../data/inmail.623
"
623,"spam ../data/inmail.624
"
624,"spam ../data/inmail.625
"
625,"spam ../data/inmail.626
"
626,"spam ../data/inmail.627
"
627,"spam ../data/inmail.628
"
628,"spam ../data/inmail.629
"
629,"spam ../data/inmail.630
"
630,"spam ../data/inmail.631
"
631,"spam ../data/inmail.632
"
632,"spam ../data/inmail.633
"
633,"spam ../data/inmail.634
"
634,"spam ../data/inmail.635
"
635,"spam ../data/inmail.636
"
636,"spam ../data/inmail.637
"
637,"spam ../data/inmail.638
"
638,"spam ../data/inmail.639
"
639,"ham ../data/inmail.640
"
640,"ham ../data/inmail.641
"
641,"ham ../data/inmail.642
"
642,"spam ../data/inmail.643
"
643,"ham ../data/inmail.644
"
644,"ham ../data/inmail.645
"
645,"spam ../data/inmail.646
"
646,"ham ../data/inmail.647
"
647,"ham ../data/inmail.648
"
648,"spam ../data/inmail.649
"
649,"spam ../data/inmail.650
"
650,"spam ../data/inmail.651
"
651,"spam ../data/inmail.652
"
652,"spam ../data/inmail.653
"
653,"spam ../data/inmail.654
"
654,"spam ../data/inmail.655
"
655,"spam ../data/inmail.656
"
656,"spam ../data/inmail.657
"
657,"ham ../data/inmail.658
"
658,"ham ../data/inmail.659
"
659,"ham ../data/inmail.660
"
660,"ham ../data/inmail.661
"
661,"spam ../data/inmail.662
"
662,"spam ../data/inmail.663
"
663,"spam ../data/inmail.664
"
664,"ham ../data/inmail.665
"
665,"spam ../data/inmail.666
"
666,"spam ../data/inmail.667
"
667,"spam ../data/inmail.668
"
668,"spam ../data/inmail.669
"
669,"spam ../data/inmail.670
"
670,"ham ../data/inmail.671
"
671,"spam ../data/inmail.672
"
672,"spam ../data/inmail.673
"
673,"ham ../data/inmail.674
"
674,"ham ../data/inmail.675
"
675,"spam ../data/inmail.676
"
676,"ham ../data/inmail.677
"
677,"spam ../data/inmail.678
"
678,"spam ../data/inmail.679
"
679,"ham ../data/inmail.680
"
680,"spam ../data/inmail.681
"
681,"ham ../data/inmail.682
"
682,"spam ../data/inmail.683
"
683,"ham ../data/inmail.684
"
684,"spam ../data/inmail.685
"
685,"spam ../data/inmail.686
"
686,"ham ../data/inmail.687
"
687,"spam ../data/inmail.688
"
688,"spam ../data/inmail.689
"
689,"ham ../data/inmail.690
"
690,"spam ../data/inmail.691
"
691,"spam ../data/inmail.692
"
692,"spam ../data/inmail.693
"
693,"spam ../data/inmail.694
"
694,"ham ../data/inmail.695
"
695,"spam ../data/inmail.696
"
696,"spam ../data/inmail.697
"
697,"spam ../data/inmail.698
"
698,"spam ../data/inmail.699
"
699,"ham ../data/inmail.700
"
700,"spam ../data/inmail.701
"
701,"ham ../data/inmail.702
"
702,"ham ../data/inmail.703
"
703,"spam ../data/inmail.704
"
704,"spam ../data/inmail.705
"
705,"spam ../data/inmail.706
"
706,"spam ../data/inmail.707
"
707,"spam ../data/inmail.708
"
708,"spam ../data/inmail.709
"
709,"spam ../data/inmail.710
"
710,"spam ../data/inmail.711
"
711,"spam ../data/inmail.712
"
712,"spam ../data/inmail.713
"
713,"spam ../data/inmail.714
"
714,"spam ../data/inmail.715
"
715,"ham ../data/inmail.716
"
716,"ham ../data/inmail.717
"
717,"ham ../data/inmail.718
"
718,"ham ../data/inmail.719
"
719,"ham ../data/inmail.720
"
720,"spam ../data/inmail.721
"
721,"spam ../data/inmail.722
"
722,"spam ../data/inmail.723
"
723,"ham ../data/inmail.724
"
724,"spam ../data/inmail.725
"
725,"spam ../data/inmail.726
"
726,"spam ../data/inmail.727
"
727,"ham ../data/inmail.728
"
728,"spam ../data/inmail.729
"
729,"spam ../data/inmail.730
"
730,"spam ../data/inmail.731
"
731,"spam ../data/inmail.732
"
732,"ham ../data/inmail.733
"
733,"spam ../data/inmail.734
"
734,"spam ../data/inmail.735
"
735,"spam ../data/inmail.736
"
736,"spam ../data/inmail.737
"
737,"spam ../data/inmail.738
"
738,"spam ../data/inmail.739
"
739,"spam ../data/inmail.740
"
740,"spam ../data/inmail.741
"
741,"ham ../data/inmail.742
"
742,"spam ../data/inmail.743
"
743,"spam ../data/inmail.744
"
744,"ham ../data/inmail.745
"
745,"ham ../data/inmail.746
"
746,"spam ../data/inmail.747
"
747,"ham ../data/inmail.748
"
748,"spam ../data/inmail.749
"
749,"spam ../data/inmail.750
"
750,"ham ../data/inmail.751
"
751,"spam ../data/inmail.752
"
752,"spam ../data/inmail.753
"
753,"ham ../data/inmail.754
"
754,"ham ../data/inmail.755
"
755,"spam ../data/inmail.756
"
756,"spam ../data/inmail.757
"
757,"spam ../data/inmail.758
"
758,"spam ../data/inmail.759
"
759,"ham ../data/inmail.760
"
760,"spam ../data/inmail.761
"
761,"spam ../data/inmail.762
"
762,"spam ../data/inmail.763
"
763,"spam ../data/inmail.764
"
764,"spam ../data/inmail.765
"
765,"spam ../data/inmail.766
"
766,"spam ../data/inmail.767
"
767,"spam ../data/inmail.768
"
768,"spam ../data/inmail.769
"
769,"ham ../data/inmail.770
"
770,"ham ../data/inmail.771
"
771,"spam ../data/inmail.772
"
772,"spam ../data/inmail.773
"
773,"spam ../data/inmail.774
"
774,"spam ../data/inmail.775
"
775,"spam ../data/inmail.776
"
776,"ham ../data/inmail.777
"
777,"spam ../data/inmail.778
"
778,"spam ../data/inmail.779
"
779,"ham ../data/inmail.780
"
780,"ham ../data/inmail.781
"
781,"spam ../data/inmail.782
"
782,"spam ../data/inmail.783
"
783,"spam ../data/inmail.784
"
784,"ham ../data/inmail.785
"
785,"ham ../data/inmail.786
"
786,"spam ../data/inmail.787
"
787,"spam ../data/inmail.788
"
788,"ham ../data/inmail.789
"
789,"spam ../data/inmail.790
"
790,"spam ../data/inmail.791
"
791,"spam ../data/inmail.792
"
792,"spam ../data/inmail.793
"
793,"ham ../data/inmail.794
"
794,"spam ../data/inmail.795
"
795,"spam ../data/inmail.796
"
796,"ham ../data/inmail.797
"
797,"spam ../data/inmail.798
"
798,"ham ../data/inmail.799
"
799,"spam ../data/inmail.800
"
800,"ham ../data/inmail.801
"
801,"ham ../data/inmail.802
"
802,"spam ../data/inmail.803
"
803,"spam ../data/inmail.804
"
804,"spam ../data/inmail.805
"
805,"spam ../data/inmail.806
"
806,"spam ../data/inmail.807
"
807,"spam ../data/inmail.808
"
808,"ham ../data/inmail.809
"
809,"ham ../data/inmail.810
"
810,"ham ../data/inmail.811
"
811,"ham ../data/inmail.812
"
812,"spam ../data/inmail.813
"
813,"ham ../data/inmail.814
"
814,"spam ../data/inmail.815
"
815,"spam ../data/inmail.816
"
816,"spam ../data/inmail.817
"
817,"spam ../data/inmail.818
"
818,"spam ../data/inmail.819
"
819,"spam ../data/inmail.820
"
820,"spam ../data/inmail.821
"
821,"spam ../data/inmail.822
"
822,"spam ../data/inmail.823
"
